team,PTS%,season
CBJ,.591,2017
NJD,.591,2017
CAR,.506,2017
NYI,.488,2017
NYR,.470,2017
NSH,.713,2017
WPG,.695,2017
MIN,.616,2017
COL,.579,2017
STL,.573,2017
DAL,.561,2017
CHI,.463,2017
VGK,.665,2017
ANA,.616,2017
SJS,.610,2017
LAK,.598,2017
CGY,.512,2017
EDM,.476,2017
VAN,.445,2017
ARI,.427,2017
TBL,.780,2018
BOS,.652,2018
TOR,.610,2018
MTL,.585,2018
FLA,.524,2018
BUF,.463,2018
DET,.451,2018
OTT,.390,2018
WSH,.634,2018
NYI,.628,2018
PIT,.610,2018
CAR,.604,2018
CBJ,.598,2018
PHI,.500,2018
NYR,.476,2018
NJD,.439,2018
NSH,.610,2018
WPG,.604,2018
STL,.604,2018
DAL,.567,2018
COL,.549,2018
CHI,.512,2018
MIN,.506,2018
CGY,.652,2018
SJS,.616,2018
VGK,.567,2018
ARI,.524,2018
VAN,.494,2018
ANA,.488,2018
EDM,.482,2018
LAK,.433,2018
BOS,.714,2019
TBL,.657,2019
TOR,.579,2019
FLA,.565,2019
MTL,.500,2019
BUF,.493,2019
OTT,.437,2019
DET,.275,2019
WSH,.652,2019
PHI,.645,2019
PIT,.623,2019
CAR,.596,2019
CBJ,.579,2019
NYI,.588,2019
NYR,.564,2019
NJD,.493,2019
STL,.662,2019
COL,.657,2019
DAL,.594,2019
WPG,.563,2019
NSH,.565,2019
MIN,.558,2019
CHI,.514,2019
VGK,.606,2019
EDM,.585,2019
CGY,.564,2019
VAN,.565,2019
ARI,.529,2019
ANA,.472,2019
LAK,.457,2019
SJS,.450,2019
CAR,.714,2020
FLA,.705,2020
TBL,.670,2020
NSH,.571,2020
DAL,.536,2020
CHI,.491,2020
DET,.429,2020
CBJ,.429,2020
PIT,.688,2020
WSH,.688,2020
BOS,.652,2020
NYI,.634,2020
NYR,.536,2020
PHI,.518,2020
NJD,.402,2020
BUF,.330,2020
TOR,.688,2020
EDM,.643,2020
WPG,.563,2020
MTL,.527,2020
CGY,.491,2020
OTT,.455,2020
VAN,.446,2020
COL,.732,2020
VGK,.732,2020
MIN,.670,2020
STL,.563,2020
ARI,.482,2020
LAK,.438,2020
SJS,.438,2020
ANA,.384,2020
FLA,.744,2021
TOR,.701,2021
TBL,.671,2021
BOS,.652,2021
BUF,.457,2021
DET,.451,2021
OTT,.445,2021
MTL,.335,2021
CAR,.707,2021
NYR,.671,2021
PIT,.628,2021
WSH,.610,2021
NYI,.512,2021
CBJ,.494,2021
NJD,.384,2021
PHI,.372,2021
COL,.726,2021
MIN,.689,2021
STL,.665,2021
DAL,.598,2021
NSH,.591,2021
WPG,.543,2021
CHI,.415,2021
ARI,.348,2021
CGY,.677,2021
EDM,.634,2021
LAK,.604,2021
VGK,.573,2021
VAN,.561,2021
SJS,.470,2021
ANA,.463,2021
SEA,.366,2021
BOS,.823,2022
TOR,.677,2022
TBL,.598,2022
FLA,.561,2022
BUF,.555,2022
OTT,.524,2022
DET,.488,2022
MTL,.415,2022
CAR,.689,2022
NJD,.683,2022
NYR,.652,2022
NYI,.567,2022
PIT,.555,2022
WSH,.488,2022
PHI,.457,2022
CBJ,.360,2022
COL,.665,2022
DAL,.659,2022
MIN,.628,2022
WPG,.579,2022
NSH,.561,2022
STL,.494,2022
ARI,.427,2022
CHI,.360,2022
VGK,.677,2022
EDM,.665,2022
LAK,.634,2022
SEA,.610,2022
CGY,.567,2022
VAN,.506,2022
SJS,.366,2022
ANA,.354,2022
FLA,.671,2023
BOS,.665,2023
TOR,.622,2023
TBL,.598,2023
DET,.555,2023
BUF,.512,2023
OTT,.476,2023
MTL,.463,2023
NYR,.695,2023
CAR,.677,2023
NYI,.573,2023
WSH,.555,2023
PIT,.537,2023
PHI,.530,2023
NJD,.494,2023
CBJ,.402,2023
DAL,.689,2023
WPG,.671,2023
COL,.652,2023
NSH,.604,2023
STL,.561,2023
MIN,.530,2023
ARI,.470,2023
CHI,.317,2023
VAN,.665,2023
EDM,.634,2023
LAK,.604,2023
VGK,.598,2023
CGY,.494,2023
SEA,.494,2023
ANA,.360,2023
SJS,.287,2023
TOR,.659,2024
TBL,.622,2024
FLA,.598,2024
OTT,.591,2024
MTL,.555,2024
DET,.524,2024
