gameId,homeRate,awayRate,pLogistic,pGoals,pWin,season,date,home,away,homeGoals,awayGoals,homeGoalie,awayGoalie
2025020001,3.67119532745107,2.4117357434740807,0.7265697093452917,0.6921639251969285,0.7093668172711101,2025,2025-10-07,FLA,CHI,3.0,2.0,Sergei Bobrovsky,Spencer Knight
2025020002,3.551114884383034,2.8646072406844407,0.5892408824927784,0.6047686241896755,0.5970047533412269,2025,2025-10-07,NYR,PIT,0.0,3.0,Igor Shesterkin,Arturs Silovs
2025020003,3.125570901625292,2.802315288138705,0.5398791106698222,0.5516581140974939,0.545768612383658,2025,2025-10-07,LAK,COL,1.0,4.0,Darcy Kuemper,Scott Wedgewood
2025020004,3.3506671844019373,2.6450112097540175,0.6257827217154721,0.6111409785039507,0.6184618501097114,2025,2025-10-08,TOR,MTL,5.0,2.0,Anthony Stolarz,Samuel Montembeault
2025020005,3.3943604100650617,2.692251753715252,0.6062700379109962,0.6098115676416745,0.6080408027763353,2025,2025-10-08,WSH,BOS,1.0,3.0,Logan Thompson,Jeremy Swayman
2025020006,3.2418800957217417,2.6264778539160574,0.640297910678311,0.5981875886703609,0.619242749674336,2025,2025-10-08,EDM,CGY,3.0,3.0,Stuart Skinner,Dustin Wolf
2025020007,3.2269225409952074,2.5666976157541743,0.6115170855550768,0.6058337305606795,0.6086754080578781,2025,2025-10-08,VGK,LAK,5.0,5.0,Adin Hill,Anton Forsberg
2025020008,3.4838471088457714,2.9593566626349146,0.5652369253955648,0.5802211495625895,0.5727290374790772,2025,2025-10-09,BOS,CHI,4.0,3.0,Joonas Korpisalo,Arvid Soderblom
2025020009,3.1949722337812267,3.0093960724592126,0.4956738959294247,0.529049767564495,0.5123618317469598,2025,2025-10-09,BUF,NYR,0.0,4.0,Alex Lyon,Igor Shesterkin
2025020010,3.262100063321713,2.8141076119406714,0.5882380853483197,0.570595000761708,0.5794165430550138,2025,2025-10-09,DET,MTL,1.0,5.0,John Gibson,Jakub Dobes
2025020011,3.257616047489694,2.7840121105221574,0.5639857025305457,0.5747946903791897,0.5693901964548678,2025,2025-10-09,TBL,OTT,4.0,5.0,Andrei Vasilevskiy,Linus Ullmark
2025020012,3.4462498282737277,2.531566953743686,0.6814248361478416,0.6431311332033225,0.662277984675582,2025,2025-10-09,FLA,PHI,2.0,1.0,Sergei Bobrovsky,Dan Vladar
2025020013,3.0880271216171025,3.1500562391181997,0.470848487679656,0.4902765252765511,0.4805625064781035,2025,2025-10-09,PIT,NYI,4.0,3.0,Tristan Jarry,Ilya Sorokin
2025020014,3.4360158802007623,2.67058222198899,0.6083334100682151,0.6192759924423867,0.613804701255301,2025,2025-10-09,CAR,NJD,6.0,3.0,Frederik Andersen,Jacob Markstrom
2025020015,2.978357745181755,2.6471162594421953,0.5092016776025506,0.5542684715837536,0.5317350745931522,2025,2025-10-09,STL,MIN,0.0,5.0,Jordan Binnington,Filip Gustavsson
2025020016,2.8908790657248167,3.2370981422882434,0.43668237478697236,0.44552046332925577,0.44110141905811406,2025,2025-10-09,NSH,CBJ,2.0,1.0,Juuse Saros,Jet Greaves
2025020017,3.5139601272634162,2.5829777627366015,0.6424662413468427,0.6442492283793284,0.6433577348630856,2025,2025-10-09,WPG,DAL,4.0,5.0,Connor Hellebuyck,Jake Oettinger
2025020018,3.3610293895144223,2.926982795813525,0.5706755093086884,0.5672990679200421,0.5689872886143652,2025,2025-10-09,COL,UTA,2.0,1.0,Scott Wedgewood,Karel Vejmelka
2025020019,3.102145938008002,2.6493377068650155,0.5915293961550246,0.5732399080896883,0.5823846521223565,2025,2025-10-09,VAN,CGY,5.0,1.0,Thatcher Demko,Dustin Wolf
2025020020,2.5924135105740786,3.5284035783277004,0.32761508784285087,0.3551840995282826,0.3413995936855667,2025,2025-10-09,SJS,VGK,3.0,4.0,Alex Nedeljkovic,Akira Schmid
2025020021,3.256525699530172,2.8924954515203773,0.5463650483888133,0.5571237121027739,0.5517443802457935,2025,2025-10-09,SEA,ANA,3.0,1.0,Joey Daccord,Lukas Dostal
2025020022,2.8734650756268914,2.6623304496133087,0.5411909684051982,0.5349107572411268,0.5380508628231625,2025,2025-10-11,WPG,LAK,3.0,2.0,Connor Hellebuyck,Darcy Kuemper
2025020023,2.8485278924143085,2.7356224057799716,0.5146414686087708,0.5186026258841274,0.5166220472464491,2025,2025-10-11,CGY,STL,2.0,4.0,Dustin Wolf,Joel Hofer
